Thread 1 seed: 264221
Init time: 0.006187 s

Loading weights-stage1.bin finished: 0.350813 s
Loading weights-stage2.bin finished: 0.38581 s
17216->17280: 0.9604 216506 129.65 523000
17280->17344: 0.9604 216814 0 522871
17344->17408: 0.9604 219043 0 522871
17408->17472: 0.9604 219351 0 522871
17472->17536: 0.9604 219788 0 522871
17536->17600: 0.9604 220096 0 522871
17600->17664: 0.9604 220788 0 522871
17664->17728: 0.9604 221097 0 522871
17728->17792: 0.9598 221533 132.654 522871
17792->17856: 0.9596 221841 44.3139 522738
17856->17920: 0.9592 223046 88.7248 522694
17920->17984: 0.9592 223354 0 522605
17984->18048: 0.959 223790 44.6782 522605
18048->18112: 0.9588 224099 44.7522 522560
18112->18176: 0.9586 224791 44.8272 522516
18176->18240: 0.9584 225100 44.9523 522471
18240->18304: 0.9584 225536 0 522426
18304->18368: 0.9582 225844 45.1147 522426
18368->18432: 0.957 230121 271.004 522381
18432->18496: 0.957 230429 0 522110
18496->18560: 0.957 230865 0 522110
18560->18624: 0.957 231174 0 522110
18624->18688: 0.957 231866 0 522110
18688->18752: 0.957 232174 0 522110
18752->18816: 0.9568 232611 46.4426 522110
18816->18880: 0.9566 232919 46.516 522063
18880->18944: 0.9566 234123 0 522017
18944->19008: 0.9566 234432 0 522017
19008->19072: 0.9566 234868 0 522017
19072->19136: 0.9566 235177 0 522017
19136->19200: 0.9566 235869 0 522017
19200->19264: 0.9566 236177 0 522017
19264->19328: 0.9566 236614 0 522017
19328->19392: 0.9566 236922 0 522017
19392->19456: 0.9566 239150 0 522017
19456->19520: 0.9566 239459 0 522017
19520->19584: 0.9566 239895 0 522017
19584->19648: 0.9566 240203 0 522017
19648->19712: 0.9564 240896 48.0487 522017
19712->19776: 0.9564 241204 0 521969
19776->19840: 0.9558 241640 144.718 521969
19840->19904: 0.9558 241949 0 521824
19904->19968: 0.9556 243153 48.3834 521824
19968->20032: 0.9556 243462 0 521776
20032->20096: 0.9554 243898 48.7004 521776
20096->20160: 0.9554 244206 0 521727
20160->20224: 0.9554 244899 0 521727
20224->20288: 0.9552 245207 48.9733 521727
20288->20352: 0.955 245643 49.0495 521678
20352->20416: 0.9546 245952 98.259 521629
20416->20480: 0.9534 254324 295.132 521531
20480->20544: 0.9534 254632 0 521236
20544->20608: 0.9534 255069 0 521236
20608->20672: 0.9534 255377 0 521236
20672->20736: 0.9534 256070 0 521236
20736->20800: 0.9534 256378 0 521236
20800->20864: 0.9534 256814 0 521236
20864->20928: 0.9532 257123 51.3714 521236
20928->20992: 0.9526 258327 154.269 521184
20992->21056: 0.9526 258635 0 521030
21056->21120: 0.9526 259072 0 521030
21120->21184: 0.9524 259380 51.8075 521030
21184->21248: 0.9518 260072 155.638 520978
21248->21312: 0.9518 260381 0 520822
21312->21376: 0.9516 260817 52.0693 520822
